_id,Código único,Barrio,Lados de manzana por estrato 1,Lados de manzana por estrato 2,Lados de manzana por estrato 3,Lados de manzana por estrato 4,Lados de manzana por estrato 5,Lados de manzana por estrato 6,Sin vivienda,Estrato moda
199,1313,Charco Azul,106,23, -, -, -, -,15,1
200,1314,Villablanca,6,64, -, -, -, -,23,2
201,1315,Calypso,3,10,84, -, -, -,91,3
202,1390,Yira Castro,2,68,1, -, -, -,14,2
203,1393,Lleras Restrepo II Etapa,22,8, -, -, -, -,8,1
204,1394,Marroquín III,16,71, -, -, -, -,36,2
205,1395,Los Lagos,5,219, -, -, -, -,43,2
206,1397,Sector Laguna del Pondaje,67,29, -, -, -, -,45,1
207,1398,El Pondaje,5,53, -, -, -, -,45,2
208,1399,Sect. Asprosocial   Diamante, -,30,8, -, -, -,19,2
209,1401,Alfonso Bonilla Aragón,480, -, -, -, -, -,201,1
210,1402,Alirio Mora Beltran,67,320, -, -, -, -,42,2
211,1403,Manuela Beltran,387, -, -, -, -, -,187,1
212,1404,Las Orquídeas,202, -, -, -, -, -,67,1
213,1405,José M. Marroquin II Etapa,179,197, -, -, -, -,152,2
214,1406,José M. Marroquin I Etapa,121,364, -, -, -, -,196,2
215,1495,Puerta del Sol,74, -, -, -, -, -,44,1
216,1496,Los Naranjos I,78, -, -, -, -, -,18,1
217,1498,Promociones Populares B,560,-, -, -, -, -,192,1
218,1499,Los Naranjos II,176, -, -, -, -, -,65,1
219,1501,El Retiro,227, -, -, -, -, -,105,1
220,1502,Los Comuneros I Etapa,57,174, -, -, -, -,115,2
221,1503,Laureano Gómez,158, -, -, -, -, -,34,1
222,1504,Vallado,11,330, -, -, -, -,106,2
223,1596,Ciudad Cordoba, -,41,423, -, -, -,308,3
224,1598,Mojica,274,132, -, -, -, -,182,1
225,1599,El Morichal,232,442, -, -, -, -,156,2
226,1601,Mariano Ramos,4,473, -, -, -, -,57,2
227,1602,República de Israel,2,310, -, -, -, -,40,2
228,1603,Unión de Vivienda Popular,4,324, -, -, -, -,55,2
229,1604,Antonio Nariño,90,327, -, -, -, -,47,2
230,1605,Brisas del Limonar, -,72, -, -, -, -,48,2
231,1697,Ciudad 2000, -, -,1,166, -, -,132,4
232,1698,La Alborada, -, -,2, -, -, -,2,3
233,1701,La Playa, -, -,10, -, -, -,1,3
234,1702,Primero de Mayo, -, -, -,97,1, -,8,4
235,1703,Ciudadela Comfandi, -, -,51,8,8, -,59,3
236,1705,Ciudad Universitaria, -, -, -, -, -,1,7,NR
237,1774,Caney, -, -, -,227,110, -,204,4
238,1775,Lili, -, -, -,88,50, -,68,4
239,1778,Santa Anita   La Selva, -, -, -,21,69, -,70,5
240,1780,El Ingenio, -, -, -,1,139,90,136,5
241,1781,Mayapan   Las Vegas, -, -,2, -,71, -,69,5
242,1782,Las Quintas de Don Simón, -, -, -,4,42, -,77,5
243,1783,Ciudad Capri, -, -, -,58,130, -,72,5
244,1784,La Hacienda, -,1, -,6,45, -,133,5
245,1785,Los Portales   Nuevo Rey, -, -, -,1,28, -,40,5
246,1786,Cañaverales   Los Samanes, -,3,81,26, -, -,62,3
247,1787,El Limonar, -, -,26,20, -, -,21,3
248,1788,Bosques del Limonar, -, -,1,35,4, -,24,4
249,1789,El Gran Limonar   Cataya, -, -,5,13,104, -,53,5
250,1790,El Gran Limonar, -, -, -,2,69, -,33,5
251,1791,Unicentro Cali, -, -,1, -,14, -,31,5
252,1793,Ciudadela Pasoancho, -, -, -, -,5,1,11,5
253,1794,Prados del Limonar, -, -, -,20,10,2,44,4
254,1796,Urbanización San Joaquin, -, -, -, -,21,4,61,5
255,1801,Buenos Aires, -,1,54, -,1, -,22,3
256,1802,Barrio Caldas, -, -,101, -, -, -,30,3
257,1803,Los Chorros,1,12,44,13, -, -,36,3
258,1804,Meléndez, -, -,53,2, -, -,19,3
259,1805,Los Farallones, -, -,32,1, -, -,14,3
260,1807,Francisco Eladio Ramirez, -, -,100, -, -, -,12,3
261,1808,Prados del Sur,6,96, -, -, -, -,13,2
262,1809,Horizontes, -, -,22, -, -, -,7,3
263,1810,Mario Correa Rengifo,10,74, -, -, -, -,12,2
264,1811,Lourdes,2,79,1, -, -, -,12,2
265,1812,Colinas del Sur, -,1,21, -, -, -,9,3
266,1813,Alferez Real, -, -,28,5, -, -,11,3
267,1814,Nápoles, -,1,62,3, -, -,12,3
268,1815,El Jordán,28,121,1, -, -, -,19,2
269,1816,Cuarteles Nápoles,29,6, -, -, -, -,8,1
270,1890,Sector Alto de los Chorros,245,6, -, -, -, -,29,1
271,1891,Polvorines,16,26,1,1, -, -,69,2
272,1896,Sector Meléndez, -, -,41, -, -, -,6,3
273,1897,Sector Alto Jordán,286,54, -, -, -, -,23,1
274,1898,Alto Nápoles,309,93,3, -,5, -,141,1
275,1901,El Refugio, -,4,1,127,3, -,51,4
276,1902,La Cascada, -, -, -,12,21, -,39,5
277,1903,El Lido, -, -,2,39,59, -,55,5
278,1904,Urbanización Tequendama, -, -, -,22,74, -,17,5
279,1905,Barrio Eucarístico, -, -, -,118,7, -,26,4
280,1906,San Fernando Nuevo, -, -, -,54,26, -,34,4
281,1907,Urbanización Nueva Granada, -, -, -,52,9, -,0,4
282,1908,Santa Isabel, -,3,3,49,24,11,30,4
283,1909,Bellavista,7,63,26,8,17,15,35,2
284,1910,San Fernando Viejo, -, -,22,93,87, -,37,4
285,1911,Miraflores, -, -,14,40,5, -,2,4
286,1912,3 de Julio, -, -, -,63, -, -,12,4
